run_id,response
17,"{""instructions1"":""get water from a source""}"
17,"{""instructions2"":""when all people collect water""}"
17,"{""instructions3"":""whether they stay in line and wait their turn or move out of turn""}"
17,"{""instructions4"":""the person won't have to make a choice to move ahead of time""}"
27,"{""instructions1"":""collect water from a water source and bring it back to wooden storage buckets""}"
27,"{""instructions2"":""when 8 people collect water and store it in a wooden storage bucket""}"
27,"{""instructions3"":""whether to definitely stay in line or leave the line""}"
27,"{""instructions4"":""They didn't have to decide their strategy ahead of time""}"
20,"{""instructions1"":""Every person needs to collect one bucket of water everly level and the faster a person collects the bucket of water the more points they will get""}"
20,"{""instructions2"":""After all 8 people collect their water and store it in a wooden storage bucket""}"
20,"{""instructions3"":""The players have to decide whether they will definitely stay in line or take opportunities to leave the line and head straight to the water source""}"
20,"{""instructions4"":""they are the only person who did not have to decide their strategy ahead of time""}"
26,"{""instructions1"":""collect water and bring it back to the bucket""}"
26,"{""instructions2"":""when all 8 people collect water and store it in the bucket""}"
26,"{""instructions3"":""if they want to stay in line or leave directly for the water""}"
26,"{""instructions4"":""that he does not have to decide ahead of time""}"
23,"{""instructions1"":""collect water""}"
23,"{""instructions2"":""when everyone collects  water and stores it""}"
23,"{""instructions3"":""how they will behave""}"
23,"{""instructions4"":""didnt decide strategy ahead of time""}"
21,"{""instructions1"":""To collect water and bring it back to wooden storage buckets the fastest.""}"
21,"{""instructions2"":""When all 8 people collect water and store it in a bucket.""}"
21,"{""instructions3"":""Whether to stay in line or head straight for the water.""}"
21,"{""instructions4"":""They have not decided their strategy yet.""}"
30,"{""instructions1"":""The people are collecting water as fast as they can in order to get more points.""}"
30,"{""instructions2"":""The video will end when all 8 people collect some water and store it""}"
30,"{""instructions3"":""The player decides if the people will stay in line or take an opportunity to leave the line and go directly to the water""}"
30,"{""instructions4"":""the one person doesn't have to decide ahead of time and gets to look at the map to decide what they do when the game starts. Me the player, has to judge them as morally acceptable or unacceptable. ""}"
29,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets fast, in order to score more points""}"
29,"{""instructions2"":""After all 8 people collect water and store it in a wooden storage bucket.""}"
29,"{""instructions3"":""Whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}"
29,"{""instructions4"":""They didn’t have to decide their strategy ahead of time, as they are allowed to decide after the game starts.""}"
35,"{""instructions1"":""To collect water in a bucket""}"
35,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
35,"{""instructions3"":""Whether they will stay in line or head directly for the water source""}"
35,"{""instructions4"":""They don't have to decide beforehand what their strategy will be. They can decide once the game starts.""}"
37,"{""instructions1"":""Collect one bucket of water and bring it back to the wooden storage buckets""}"
37,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
37,"{""instructions3"":""Whether to remain in line or take an opportunity to leave the line and go right to the water source""}"
37,"{""instructions4"":""He/she is the only person who didn't have to decide his/her strategy ahead of time""}"
33,"{""instructions1"":""collect the bucket of water""}"
33,"{""instructions2"":""everyone has collected the water""}"
33,"{""instructions3"":""stay in line or not""}"
33,"{""instructions4"":""they are the one I judge""}"
34,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
34,"{""instructions2"":""All 8 people collect water and store it in a wooden storage bucket.""}"
34,"{""instructions3"":""Decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}"
34,"{""instructions4"":""They get to look at the map and decide once the game starts what they will do.""}"
4,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
4,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
4,"{""instructions3"":""About how they will behave in that scene.""}"
4,"{""instructions4"":""The only person who didn’t have to decide their strategy ahead of time.""}"
40,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
40,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
40,"{""instructions3"":""whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}"
40,"{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time""}"
42,"{""instructions1"":""Collect water from water source and bring it back to wooden storage""}"
42,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
42,"{""instructions3"":""Player have to make decision about how will they behave in a scene before each scene begins""}"
42,"{""instructions4"":""The person who did not have to decide their strategy ahead of time.""}"
41,"{""instructions1"":"" Each person needs to collect one bucket of water for each level""}"
41,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
41,"{""instructions3"":""about how they will behave in that scene""}"
41,"{""instructions4"":""the only person who didn’t have to decide their strategy ahead of time""}"
43,"{""instructions1"":""To collect water from a water source and bring it back to a wooden storage bucket.""}"
43,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket. ""}"
43,"{""instructions3"":""Whether they will stay in line or leave the line and head for the water source.""}"
43,"{""instructions4"":""They don't have to decide their strategy ahead of time.""}"
44,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets.""}"
44,"{""instructions2"":""each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
44,"{""instructions3"":""how they will behave in that scene""}"
44,"{""instructions4"":""the only person who didn’t have to decide their strategy ahead of time""}"
45,"{""instructions1"":""Collect water and bring it back to the buckets.""}"
45,"{""instructions2"":""When all 8 people collect water and store it in a bucket.""}"
45,"{""instructions3"":""Whether they will stay in line or leave the line and head directly for the water source.""}"
45,"{""instructions4"":""They didn't have to decide their strategy ahead of time.""}"
46,"{""instructions1"":""collect water""}"
46,"{""instructions2"":""all 8 people get water""}"
46,"{""instructions3"":""how to behave""}"
46,"{""instructions4"":""did not have to decide strategy prior to move""}"
49,"{""instructions1"":""collect buckets of water""}"
49,"{""instructions2"":""when each person has transported their water""}"
49,"{""instructions3"":""whether to wait in the line or not""}"
49,"{""instructions4"":""they are the only person who didn't have to decide a strategy""}"
48,"{""instructions1"":""To collect water from a water source and bring it back to the storage buckets.""}"
48,"{""instructions2"":""After all 8 people collect their water and put it in the storage buckets.""}"
48,"{""instructions3"":""Whether they will stay in line or head directly to the water source. They lock in their choices before it starts.""}"
48,"{""instructions4"":""That person didn't have to decide and lock in their decision/strategy.""}"
5,"{""instructions1"":""To watch one person and judge whether their actions were morally acceptable or not.""}"
5,"{""instructions2"":""When all 8 people collect water and store it.""}"
5,"{""instructions3"":""Whether they will stay in line or try to leave the line to go straight to the water.""}"
5,"{""instructions4"":""They did not have to decide what they were doing ahead of time.""}"
50,"{""instructions1"":""They need to collect water and bring it to a storage bucket.""}"
50,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
50,"{""instructions3"":""Whether they will stay in like or take opportunities to love the line and go to the water.""}"
50,"{""instructions4"":""They didn't have to decide their strategy ahead of time.""}"
51,"{""instructions1"":""To collect water and put it in a bucket""}"
51,"{""instructions2"":""when everyone puts water into a bucket""}"
51,"{""instructions3"":""Whether they will stay in line or leave the line and head directly for the water""}"
51,"{""instructions4"":""They can decide their strategy for each map instead of deciding beforehand""}"
52,"{""instructions1"":""to collect one bucket of water for each level""}"
52,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
52,"{""instructions3"":""how they will behave in that scene""}"
52,"{""instructions4"":""they didn't have to decide their strategy ahead of time""}"
53,"{""instructions1"":""To collect a bucket of water for each level as and bring it to the storage buckets as quickly as possible.""}"
53,"{""instructions2"":""When all eight people have collected water and stored it in the buckets.""}"
53,"{""instructions3"":""Determine if they will wait their turn and stay in their current line or take opportunities to leave and head for the water source. ""}"
53,"{""instructions4"":""They can make their decision after the game starts.""}"
54,"{""instructions1"":""collect water and bring it back in buckets""}"
54,"{""instructions2"":""when all 8 people collect water and store in the bucket""}"
54,"{""instructions3"":""waiting their turn or leave the line and head straight for the water""}"
54,"{""instructions4"":""only person who didnt decide their strategy ahead of time""}"
55,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage bucket. Each person must collect one bucket of water in each level.""}"
55,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
55,"{""instructions3"":""the players have to make decision about how they will behave in that scene""}"
55,"{""instructions4"":""This is the only person who didn't have to decide their strategy ahead of time.""}"
57,"{""instructions1"":""The goal is to collect water from a source and bring it back to wooden storage buckets.""}"
57,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
57,"{""instructions3"":""Whether they will stay in line or take opportunities to head directly to the water source.""}"
57,"{""instructions4"":""This person doesn't have to decide their strategy ahead of time.""}"
56,"{""instructions1"":""Each person needs to collect one bucket of water for each level. The faster a person collects the bucket of water, the more points they receive.""}"
56,"{""instructions2"":""each video will end when all 8 people collect water and store it in a wooden storage bucket""}"
56,"{""instructions3"":""Each player has to decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}"
56,"{""instructions4"":""the only person who didn’t have to decide their strategy ahead of time""}"
58,"{""instructions1"":""collect water and store it as fast as possible""}"
58,"{""instructions2"":""when everyone stores water""}"
58,"{""instructions3"":""to stay in line or not""}"
58,"{""instructions4"":""they can decide when the game starts what to do""}"
59,"{""instructions1"":""get more points by collecting water from a source and bringing it back to the storage buckets""}"
59,"{""instructions2"":""When all 8 people collect water and store it in a bucket.""}"
59,"{""instructions3"":""Whether to stay in line or leave it and head directly for the water source.""}"
59,"{""instructions4"":""They didn't have to decide their strategy ahead of time""}"
6,"{""instructions1"":""to collect water and bring it to storage buckets""}"
6,"{""instructions2"":""when all 8 people collect water and store it in the bucket""}"
6,"{""instructions3"":""whether they will stay in line or leave the line""}"
6,"{""instructions4"":""they didn't decide their strategy ahead of time""}"
62,"{""instructions1"":""To collect water and place it in the wooden storage bucket.""}"
62,"{""instructions2"":""When all 8 players have stored water in the buckets.""}"
62,"{""instructions3"":""Whether to stay in line or leave the line and go to the water source.""}"
62,"{""instructions4"":""They didn't decide their strategy beforehand like the others.""}"
64,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
64,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
64,"{""instructions3"":""decide whether they will definitely stay in line or take opportunities to leave the line""}"
64,"{""instructions4"":""didn’t have to decide their strategy ahead of time""}"
66,"{""instructions1"":""collect water and bring it to a storage bucket""}"
66,"{""instructions2"":""when all 8 people collect water and put in bucket""}"
66,"{""instructions3"":""whether to stay in line or decide to leave the line""}"
66,"{""instructions4"":""they did not have to decide their strategy ahead of time""}"
67,"{""instructions1"":""collect water from a water source and bring it back to the storage bucket""}"
67,"{""instructions2"":""after all 8 people collect water and store it in a storage bucket""}"
67,"{""instructions3"":""about how they will behave in that scene""}"
67,"{""instructions4"":""the only person who didn’t have to decide their strategy ahead of time""}"
69,"{""instructions1"":""collect water from a water source and bring it back to wooden storage buckets""}"
69,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
69,"{""instructions3"":""how they will behave in that scene""}"
69,"{""instructions4"":""they are the only person who didn't have to decide their strategy ahead of time""}"
70,"{""instructions1"":""Collect water as fast as possible""}"
70,"{""instructions2"":""When all 8 people collect water and store in a bucket""}"
70,"{""instructions3"":""Whether to stay in line or leave directly for a water source""}"
70,"{""instructions4"":""They are the only person who didn't decide their strategy ahead of time""}"
77,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets""}"
77,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
77,"{""instructions3"":""Whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}"
77,"{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time.""}"
81,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
81,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
81,"{""instructions3"":""whether they will stay in line or leave the line to head directly for the water source""}"
81,"{""instructions4"":""This is the only person who didn't have to decide their strategy ahead of time""}"
76,"{""instructions1"":""to collect water""}"
76,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
76,"{""instructions3"":""how they will behave in that scene""}"
76,"{""instructions4"":""didn’t have to decide their strategy ahead of time""}"
84,"{""instructions1"":""collect a bucket of water""}"
84,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
84,"{""instructions3"":""how they will behave in that scene""}"
84,"{""instructions4"":""They didn't pick their strategy ahead of time ""}"
86,"{""instructions1"":""The goal is for each person to collect buckets of water for the highest number of points.""}"
86,"{""instructions2"":""When 8 people collect and store water. ""}"
86,"{""instructions3"":""They have to decide how they will behave in that scene.""}"
86,"{""instructions4"":""They get to look at the map and decide what they will do bc they didnt have to decide a strategy.""}"
88,"{""instructions1"":""collect water""}"
88,"{""instructions2"":""when all 8 collect water""}"
88,"{""instructions3"":""stay in line or leave the line""}"
88,"{""instructions4"":""they don't have to decide strategy in advance""}"
90,"{""instructions1"":""to collect water from a source and bring it to storage buckets""}"
90,"{""instructions2"":""when all 8 people collect water to store in the buckets""}"
90,"{""instructions3"":""how to behave, whether to stay in line or head directly for the water source""}"
90,"{""instructions4"":""the person didn't have time to decide their strategy ahead of time""}"
87,"{""instructions1"":""Each person in the game needs to collect one bucket of water in each level, and the faster the person collects the bucket of water, the more points they can receive""}"
87,"{""instructions2"":""The video will end when all 8 people collect water and store it in a wooden storage bucket""}"
87,"{""instructions3"":""The players have to make a decision without communicating with each other about how they will behave in the scene.  Players are able to see what the game map looks like and where the line forms, but are not able to view which position in line they will occupy.  Each player has to decide if they will stay in line or take an opportunity to get ahead to go directly to the water source.""}"
87,"{""instructions4"":""They are the only person who didn't have to decide their strategy ahead of time""}"
89,"{""instructions1"":""To collect one bucket of water as quickly as possible.""}"
89,"{""instructions2"":""When all 8 people collect water and store it in the wooden storage bucket.""}"
89,"{""instructions3"":""How they will go about getting water, either by waiting in line or heading directly for the water source.""}"
89,"{""instructions4"":""They haven't decided ahead of time how they will behave.""}"
92,"{""instructions1"":""collect water""}"
92,"{""instructions2"":""when all 8 people collect water and store it""}"
92,"{""instructions3"":""about how they will behave in that scene""}"
92,"{""instructions4"":""They didn't have to decide their strategy ahead of time""}"
91,"{""instructions1"":""Each person needs to collect one bucket of water for each level.""}"
91,"{""instructions2"":"" when all 8 people collect water and store it in a wooden storage bucket.""}"
91,"{""instructions3"":""about how they will behave in that scene.""}"
91,"{""instructions4"":""didn’t have to decide their strategy ahead of time.""}"
93,"{""instructions1"":""collect water from a water source and bring it to storage buckets""}"
93,"{""instructions2"":""When all 8 people collect water and store it.""}"
93,"{""instructions3"":""About how they will behave and maneuver in the game world.""}"
93,"{""instructions4"":""They did not have to decide their strategy before the game started.""}"
94,"{""instructions1"":""collect water and bring it to the storage bucket""}"
94,"{""instructions2"":""when all 8 people have collected the water and put it in the storage bucket""}"
94,"{""instructions3"":""a strategy""}"
94,"{""instructions4"":""they didn't have a strategy ahead of time""}"
47,"{""instructions1"":""to collect water and bring it to the wooden bucket""}"
47,"{""instructions2"":""when all 8 people bring their water to the wooden bucket""}"
47,"{""instructions3"":""whether they will stay in line and take opportunities to leave the line""}"
47,"{""instructions4"":""they get to look at the scene/map before making their decision""}"
