run_id,response
70,"{""instructions1"":""collect water""}"
70,"{""instructions2"":""when all 8 people collect water""}"
70,"{""instructions3"":""1""}"
8,"{""instructions1"":""For each person to collect one bucket of water as fast as possible.""}"
8,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
8,"{""instructions3"":""1""}"
81,"{""instructions1"":""collect a bucket of water""}"
81,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
81,"{""instructions3"":""One""}"
9,"{""instructions1"":""collect water ""}"
9,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
9,"{""instructions3"":""1""}"
