run_id,response
20,"{""instructions4"":""what would happen if everyone left the line and how much better or worse everyone would be if everyone stayed in line""}"
26,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage bucket. The faster a person collects the bucket of water, the more points they receive.""}"
26,"{""instructions2"":""each person can move one square per time step""}"
26,"{""instructions4"":""What would happen if everyone felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line. Think about how much better or worse off everyone would be if everyone stayed in line.""}"
27,"{""instructions1"":""To collect a bucket of water and bring it to a wooden storage bucket as quickly as possible.""}"
27,"{""instructions2"":""1""}"
27,"{""instructions4"":""What would happen if everyone left the line to get water for themselves, and whether or not everyone would be better off if they stayed in line.""}"
29,"{""instructions1"":""collect water""}"
29,"{""instructions2"":""one""}"
29,"{""instructions4"":""how much better or worse off everyone would be if everyone stayed in line""}"
28,"{""instructions1"":""collect water from a water source""}"
28,"{""instructions2"":""1""}"
28,"{""instructions4"":""if everyone stayed in line, or if everyone was at liberty to leave the line""}"
31,"{""instructions1"":""To collect one bucket of water each level.""}"
31,"{""instructions2"":""one""}"
31,"{""instructions4"":""I have to think about if everyone would be better off waiting in line to collect the water or leaving the line and heading straight for the water source.""}"
34,"{""instructions1"":""Quickly collect a bucket of water.""}"
34,"{""instructions2"":""1""}"
34,"{""instructions4"":""Thinking about how much better or worse people would be for staying in line.""}"
35,"{""instructions1"":""The people are collecting buckets of water""}"
35,"{""instructions2"":""One""}"
35,"{""instructions4"":""Whether everyone would be better or worse off if they all stayed in line""}"
36,"{""instructions1"":""Each person needs to collect one bucket of water for each level. The faster a person collects the bucket of water, the more points they receive.""}"
36,"{""instructions2"":""1""}"
36,"{""instructions4"":""Your job is to think about what would happen if EVERYONE felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line. Then, answer how much better or worse off everyone would be if everyone stayed in line.""}"
42,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
42,"{""instructions2"":""one""}"
42,"{""instructions4"":""What would happen if everyone felt at liberty to leave the line to get water faster and how much better or worse off everyone would be if everyone stayed in line.""}"
46,"{""instructions1"":""collect water ""}"
46,"{""instructions2"":""1""}"
46,"{""instructions4"":""how much better or worse it would be if they stayed in line""}"
48,"{""instructions1"":""Collect water from the water source and bring it back to the wooden storage bucket.""}"
48,"{""instructions2"":""one square per time""}"
48,"{""instructions4"":""what would happen if everyone felt at liberty to leave the line and try to get water for themselves, instead staying in line. Then answer how much better or worse off everyone would be if everyone stayed in line""}"
43,"{""instructions1"":""They are trying to collect water.""}"
43,"{""instructions2"":""1""}"
43,"{""instructions4"":""What if everyone felt at liberty to leave the line, and then asnwer how better or worse everyone would be if they all stayed in line.""}"
5,"{""instructions1"":""The faster a person collects the bucket of water, the more points they receive""}"
5,"{""instructions2"":""one""}"
5,"{""instructions4"":""evryone staying in line and evryone leaving the line""}"
53,"{""instructions1"":""Collect water and bring it back to the wooden storage buckets""}"
53,"{""instructions2"":""one""}"
53,"{""instructions4"":""What would happen if everyone ignored the line and went for the water for themselves and how much better or worse would that be.""}"
52,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
52,"{""instructions2"":""One""}"
52,"{""instructions4"":""If everyone left the line to get water faster for themselves, and how much better or worse off everyone be if they all stayed in life""}"
6,"{""instructions1"":""To collect water as fast as possible in order to get the most points.""}"
6,"{""instructions2"":""1""}"
6,"{""instructions4"":""Everyone feeling at liberty to leave the line and try to get water faster for themselves, and everyone staying in line.""}"
50,"{""instructions1"":""collect water from water source and bring back to wooden storage buckets""}"
50,"{""instructions2"":""1""}"
50,"{""instructions4"":""if everyone left the line or everyone stay in line is better ""}"
58,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
58,"{""instructions2"":""1""}"
58,"{""instructions4"":""What would happen if everyone left the line instead of staying in line and how much better worse off everybody would be if everyone stayed.""}"
60,"{""instructions1"":""People are collecting water and bring it to the storage and trying to gain more points by collecting water fast. ""}"
60,"{""instructions2"":""1""}"
60,"{""instructions4"":""I am to think about when people decide to leave the line and get water straightaway or if they wait in the line and wait for their turn to collect the water.""}"
63,"{""instructions1"":""to collect one bucket of water as quickly as possible for each level""}"
63,"{""instructions2"":""one""}"
63,"{""instructions4"":""(1) what would happen if EVERYONE felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line; (2) how much better or worse off everyone would be if everyone stayed in line""}"
66,"{""instructions1"":""Each person needs to collect one bucket of water for each level.""}"
66,"{""instructions2"":""one""}"
66,"{""instructions4"":""Think about how much better or worse off everyone would be if everyone stayed in line or if everyone decided to leave the line.""}"
65,"{""instructions1"":""Collect a bucket of water as fast as they can to receive more point in each level""}"
65,"{""instructions2"":""one""}"
65,"{""instructions4"":""Whether each player leave the line and head straight for the water source without waiting, or whether they should stay waiting in line until it’s their turn to collect water""}"
61,"{""instructions1"":""To collect a bucket of water; the faster they collect, the more points they gain.""}"
61,"{""instructions2"":""One""}"
61,"{""instructions4"":""About whether or not they would've been better off staying in line. And what would happen if everyone felt they were able to leave the line at any time to try to get water faster instead of staying in line.""}"
62,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets""}"
62,"{""instructions2"":""one""}"
62,"{""instructions4"":""What would happen if everyone decided leave the line at once and try to get water faster for themselves versus everyone staying in line.""}"
67,"{""instructions1"":""To collect one bucket of water for each level""}"
67,"{""instructions2"":""one""}"
67,"{""instructions4"":""You should think about what would happen if everyone stayed in line, or if everyone left the line.""}"
70,"{""instructions1"":""Pick up water from a water source and then store it in a wooden bucket.""}"
70,"{""instructions2"":""one""}"
70,"{""instructions4"":""What would happen if all of the people in the line decided to leave at once and attempt to get to the water faster, as well as how that would impact all of them versus if they had just stayed in line.""}"
7,"{""instructions1"":""to collect water from a water source and bring it back to the wooden storage buckets.""}"
7,"{""instructions2"":""1""}"
7,"{""instructions4"":""what would happen if EVERYONE felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line.""}"
71,"{""instructions1"":""collect water""}"
71,"{""instructions2"":""1""}"
71,"{""instructions4"":""what if everyone left, or if everyone stayed in line""}"
72,"{""instructions1"":""Collect water from a water source and bring it back to a wooden storage bucket""}"
72,"{""instructions2"":""1""}"
72,"{""instructions4"":""What would happen if everyone felt like they should leave the line and then how much better or worse everyone would be if they all stayed in that line.""}"
73,"{""instructions1"":""collect water from a source and bring it back to a wooden storage""}"
73,"{""instructions2"":""one square""}"
73,"{""instructions4"":""What would happen if everyone felt at liberty to leave the line and try to get water the fastest for themselves and then answer how it would be if everyone stayed in line""}"
76,"{""instructions1"":""collect water in a storage bucket""}"
76,"{""instructions2"":""one""}"
76,"{""instructions4"":""if everyone left the line or everyone staying in line""}"
74,"{""instructions1"":""collect water""}"
74,"{""instructions2"":""1""}"
74,"{""instructions4"":""everyone leaving, everyone staying""}"
77,"{""instructions1"":""To collect one bucket of water for each level""}"
77,"{""instructions2"":""one""}"
77,"{""instructions4"":""if it's better or worse for everyone if that person stayed in line""}"
75,"{""instructions1"":""to collect water from a water source, as quickly as possible, with each person filling one bucket each""}"
75,"{""instructions2"":""one square""}"
75,"{""instructions4"":""if everyone left the line to get water faster, and if everyone stayed in line to get water""}"
83,"{""instructions1"":""To collect buckets of water quickly to receive points.""}"
83,"{""instructions2"":""One square per time step""}"
83,"{""instructions4"":""Think about everyone leaving the line and what would happen.  Then answer how much better or worse everyone would be if they stayed in line. ""}"
81,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets""}"
81,"{""instructions2"":""One""}"
81,"{""instructions4"":""I should think about what would happen if everyone left the line to try to get water for themselves and what would happen if they waited in line.""}"
22,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
22,"{""instructions2"":""one""}"
22,"{""instructions4"":""what would happen if EVERYONE felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line.""}"
21,"{""instructions1"":""collect water""}"
21,"{""instructions2"":""1""}"
21,"{""instructions4"":""how much better or worse off everyone would be by staying ""}"
3,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets""}"
3,"{""instructions2"":""1""}"
3,"{""instructions4"":""people can leave the line and head straight for the water source without waiting or they can stay waiting in line until it's their turn to collect water""}"
33,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
33,"{""instructions2"":""1""}"
33,"{""instructions4"":""To think about what would happen if everyone felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line. And how much better or worse off everyone would be if everyone stayed in line.""}"
37,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
37,"{""instructions2"":""One""}"
37,"{""instructions4"":""What would happen if everyone left the line to get water for themselves, and what would happen if everyone stayed in line.""}"
39,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
39,"{""instructions2"":""1""}"
39,"{""instructions4"":""People leaving  the line and head straight for the water source without waiting, or they can stay waiting in line until it’s their turn to collect water""}"
44,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
44,"{""instructions2"":""one""}"
44,"{""instructions4"":""what would happen if EVERYONE felt at liberty to leave the line and try to get water faster for themselves, instead of everyone staying in line""}"
51,"{""instructions1"":""collect a bucket of water""}"
51,"{""instructions2"":""one""}"
51,"{""instructions4"":""What would happen if everyone left the line to get water faster for themselves, and how much better or worse off everyone would be if they all stayed in line. ""}"
54,"{""instructions1"":""To move water from a source and put it in storage buckets.""}"
54,"{""instructions2"":""Only one square.""}"
54,"{""instructions4"":""Whether it is better for people to stay in line or for everyone to move on their own.""}"
59,"{""instructions1"":""Collect water faster.""}"
59,"{""instructions2"":""1""}"
59,"{""instructions4"":""if everyone stayed in line, and if no one stayed in line.""}"
79,"{""instructions1"":""collect a bucket of water""}"
79,"{""instructions2"":""one square per turn""}"
79,"{""instructions4"":""whether it is better or worse to wait in line to gather water""}"
